not_about,not_day,not_month,not_year
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置 \xa0</strong> \xa0 請參考附件。</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明 \xa0</strong> \xa0 本(105)年10月執行實彈射擊操演，航行船隻於演習時 間內，禁止進入該操演水域，以維航安。</p>\r\n<p>\r\n\t<strong>關係圖書</strong> \xa0 \xa0 普通海圖第61601, 04501, 04502, 04522, 04523, 04524, 0340, 0343, 0313, 0471B號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據 </strong>\xa0 \xa0 1.國家中山科學研究院105年10月12日國科系發字第 1050008621號函。 2.交通部航港局南部航務中心105年10月13日南技字第 1053308155及1053355381號函。</p>\r\n",18,10,2016
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置</strong> \xa0 \xa0 請參考附件。</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明</strong> \xa0 \xa0 蘇澳港南防波堤燈杆，自本(105)年10月13日起變更燈 質，請於相關圖書中予以訂正。</p>\r\n<p>\r\n\t<strong>關係圖書</strong> \xa0 \xa0 普通海圖第 0351A, 04515, 04516, 0350 號。 本局燈表第十版(刊物第五種)第 42140 號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據 </strong>\xa0 \xa0 交通部</p>\r\n",19,10,2016
"<p>\r\n\t<strong>位 置</strong></p>\r\n<p>\r\n\t(A)北緯 23\xb009'06.0""，東經 122\xb020'12.0""。(WGS84)</p>\r\n<p>\r\n\t(B)北緯 23\xb008'18.0""，東經 122\xb030'06.0""。(WGS84)</p>\r\n<p>\r\n\t(C)北緯 22\xb038'42.0""，東經 122\xb023'30.0""。(WGS84)</p>\r\n<p>\r\n\t(D)北緯 22\xb021'48.0""，東經 122\xb010'36.0""。(WGS84)</p>\r\n<p>\r\n\t(E) 北緯 22\xb024'18.0""，東經 121\xb058'42.0""。(WGS84)</p>\r\n<p>\r\n\t(F) 北緯 22\xb041'24.0""，東經 122\xb009'06.0""。(WGS84)</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明</strong> \xa0 \xa0 即日起至105年11月30日止，在上述位置六點連線區域內 進行海纜維修作業，航經該水域船隻，請多加注意。</p>\r\n<p>\r\n\t<strong>關係圖書 \xa0</strong> \xa0 普通海圖第0313號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據</strong> \xa0 \xa0 中華電信股份有限公司國際電信分公司105年10月13日際 網六字第1050000417號函。</p>\r\n",19,10,2016
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置 </strong>\xa0 \xa0 (A)北緯 24\xb014'16.4""，東經 120\xb029'56.0""。(WGS84) (B)北緯 24\xb014'02.7""，東經 120\xb030'02.9""。(WGS84)</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明 </strong>\xa0 \xa0 第9號柱燈浮由原來位置(A)遷移至(B)，航行船隻，注意 避讓。</p>\r\n<p>\r\n\t<strong>關係圖書</strong> \xa0 \xa0 本局海圖第0357號。 本局燈表第十版(刊物第五種)第20430號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據</strong> \xa0 \xa0 交通部航港局中部航務中心105年10月17日中技字第 1053254956號及105年10月18日第1053212282號函。</p>\r\n",20,10,2016
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置 </strong>\xa0 \xa0 請參考附件。</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明 </strong>\xa0 \xa0 本(105)年11月在臺灣海域執行實彈射擊操演，航行船隻 於演習時間內，禁止進入該操演水域，以維航安。</p>\r\n<p>\r\n\t<strong>關係圖書</strong> \xa0 \xa0 普通海圖第61601, 0365, 0341C, 04501, 04502, 04504, 04505, 04522, 04523, 04524, 0338, 0336, 0340, 0343, 0313, 0471B號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 據 </strong>\xa0 \xa0 1.海軍司令部105年10月17日國海戰訓字第1050001472號 函。</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 2.國家中山科學研究院105年10月17日國科系發字第10500 08757號函。</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 3.交通部航港局南部航務中心105年10月18日南技字第105 3355471號函。</p>\r\n",21,10,2016
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置 </strong>\xa0 \xa0 請參考附件。</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明 </strong>\xa0 \xa0 即日起至106年12月31日止，在上述位置進行浚挖及回填 作業，航行該水域船隻，請注意避讓。</p>\r\n<p>\r\n\t<strong>關係圖書</strong> \xa0 \xa0 普通海圖第0341A, 0341B, 0341C號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據 </strong>\xa0 \xa0 臺灣港務股份有限公司高雄港務分公司105年10月18日高 港港行字第1053101859號函。</p>\r\n",21,10,2016
"<p>\r\n\t<strong>參考布告 </strong>\xa0 \xa0 本局 105 年航船布告第 146 號。</p>\r\n<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置</strong> \xa0 \xa0 (A)北緯 25\xb012'57.0""，東經 121\xb042'23.0""。(WGS84)</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0(B)北緯 25\xb012'38.0""，東經 121\xb043'46.0""。(WGS84)</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0(C)北緯 25\xb010'13.0""，東經 121\xb044'12.0""。(WGS84)</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0(D)北緯 25\xb011'09.0""，東經 121\xb041'50.0""。(WGS84)</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明</strong>\xa0 \xa0 \xa0上述參考布告之海難災害演習因故延期至105年10月26日 0800-1700時及10月27日0800-1200時。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據</strong>\xa0 \xa0 \xa0交通部航港局北部航務中心105年10月19日北技字第 1053112657號函。</p>\r\n",24,10,2016
<p>\r\n\t<strong>參考布告</strong> \xa0 \xa0 本局 105 年航船布告第 66、110 及 122 號。</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明</strong> \xa0 \xa0 上述參考布告之風力發電機安裝作業完工日期，自本 (105)年10月31日再展延至105年11月30日止，其餘均無變 更。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據 </strong>\xa0 \xa0 交通部航港局中部航務中心105年10月20日中技字第 1053201332號函。</p>\r\n,26,10,2016
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置</strong>\xa0 \xa0 \xa0北緯 24\xb021'39.26""， 東經 118\xb031'55.50""。(WGS84)</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明</strong>\xa0 \xa0 \xa0在上述位置發現沉船(長約100公尺)，水深20公尺，航行 船隻，請注意避讓。</p>\r\n<p>\r\n\t<strong>關係圖書 \xa0 \xa0</strong> 普通海圖第 04526, 0319A, 0319, 0013 號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據</strong>\xa0 \xa0 \xa0內政部105年10月19日台內地字第1051308946號函。</p>\r\n",27,10,2016
"<p>\r\n\t<strong>位 \xa0 \xa0 \xa0 \xa0置</strong>\xa0 \xa0 \xa0請參考附件。</p>\r\n<p>\r\n\t<strong>說 \xa0 \xa0 \xa0 \xa0明</strong>\xa0 \xa0 \xa0本(105)年10-11月在臺灣海域執行實彈射擊操演，航行船 隻於演習時間內，禁止進入該操演水域，以維航安。</p>\r\n<p>\r\n\t關係圖書 \xa0 \xa0 普通海圖第61601, 04501, 04522, 04523, 04524, 0338, 0336, 0340, 0343, 0352, 0360, 1492, 0313, 0471B號。</p>\r\n<p>\r\n\t<strong>根 \xa0 \xa0 \xa0 \xa0據</strong>\xa0 \xa0 \xa01.海軍司令部105年10月20日國海戰訓字第1050001495號 函。</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa02.國家中山科學研究院105年10月21日國科系發字第1050 008927號函。</p>\r\n<p>\r\n\t\xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa0 \xa03.交通部航港局南部航務中心105年10月25日南技字第 1053355601函。</p>\r\n",28,10,2016
