c_date,falsenum,turenum,type
2016-11-30 10:20:10,0,20,f
2016-11-30 10:20:10,0,10,l
2016-11-30 10:20:10,0,10,u
2016-11-30 11:08:40,0,10,olink
2016-12-05_22:53:09,0,0,olink
2016-12-05_23:38:43,5,22,olink
2016-12-06_06:44:21,4,23,olink
2016-12-06_06:47:53,4,23,olink
2016-12-06_07:06:36<,5,22,olink
2016-12-06_07:41:26,4,23,olink
2016-12-06_07:57:25,0,34,inlink
2016-12-06_07:58:36,0,34,inlink
2016-12-06_08:03:12,6,1023,inlink

